번호,ID,문제 파일명,정답 파일명,출처,연도,과목,단원,관련 과목,정답률,난이도,답
"49","15397fc5-54ca-43f2-913f-063874d6469c","版力406.png","版力406-a.png","2021학년도 9월 모평 13번","2021","통합사회 2","국제 분업과 무역","경제","66","하","5"
"50","66e0e31a-5c1d-4374-b6d3-4b3b12ee8dec","版力405.png","版力405-a.png","2020년 3월 학평 14번","2020","통합사회 2","국제 분업과 무역","경제","58","중","4"
"51","d9720099-8152-4226-ba36-4d884f875f19","版力404.png","版力404-a.png","2022학년도 9월 모평 20번","2022","통합사회 2","국제 분업과 무역","경제","60","하","4"
"52","450b22e6-43a7-4cd2-abd4-c245772abaf6","版力403.png","版力403-a.png","2024학년도 수능 9번","2024","통합사회 2","국제 분업과 무역","경제","55","중","5"
"53","690348bf-e11e-4321-898a-f091575650fe","版力402.png","版力402-a.png","2020년 7월 학평 20번","2020","통합사회 2","국제 분업과 무역","경제","45","중","3"
"54","8f52c857-13b8-4ea4-be73-b2d0a4745d04","版力401.png","版力401-a.png","2021년 10월 학평 2번","2021","통합사회 2","국제 분업과 무역","경제","73","하","5"
"55","b71d626e-b203-46d3-b6ce-87257c6119cc","版力400.png","版力400-a.png","2019학년도 9월 모평 2번","2019","통합사회 2","국제 분업과 무역","경제","65","하","4"
"56","9a39d5db-5b14-4510-95ac-68e47ba76e80","版力399.png","版力399-a.png","2024년 10월 학평 5번","2024","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","62","하","4"
"57","e7e98325-fee1-4c5d-9525-7f7886fea482","版力398.png","版力398-a.png","2025학년도 수능 16번","2025","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","5"
"58","36ebd59e-dcb9-4a30-9489-96b83356addf","版力397.png","版力397-a.png","2025학년도 9월 모평 11번","2025","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","82","하","3"
"59","0fee9679-1638-4f61-a2e6-8ce6a95e1817","版力396.png","版力396-a.png","2024년 3월 학평 15번","2024","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","59","중","5"
"60","73be331b-bee9-493c-87ae-bc40f17a17fa","版力395.png","版力395-a.png","2024학년도 수능 13번","2024","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","65","하","3"
"61","adc5185e-944a-4ff7-bd31-40542d4b0cbd","版力394.png","版力394-a.png","2024학년도 9월 모평 18번","2024","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","44","중","4"
"62","cb963986-6d3c-4efe-be43-cca80813a55d","版力393.png","版力393-a.png","2021학년도 수능 19번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","57","중","4"
"63","ce37a3dc-0f03-48f4-b82d-ac37444bb95f","版力392.png","版力392-a.png","2024년 7월 학평 18번","2024","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","86","하","3"
"64","94243790-f0ad-415f-aebf-287c13692661","版力391.png","版力391-a.png","2019년 10월 학평 14번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","59","중","3"
"65","37769e90-b4ed-4630-b8b4-cb930c83f199","版力390.png","版力390-a.png","2023학년도 6월 모평 13번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","60","하","3"
"66","446e1b84-7f04-4331-928a-9ea5cc33f7ad","版力389.png","版力389-a.png","2020년 7월 학평 18번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","50","중","1"
"67","74ed8c2b-d6b4-4293-bf20-7ff013eda8ea","版力388.png","版力388-a.png","2019년 4월 학평 20번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","69","하","3"
"68","6eafc1d9-7ef4-47d9-9dd3-fe5d79b3a96f","版力387.png","版力387-a.png","2023학년도 9월 모평 13번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","3"
"69","2d8920d9-da52-4607-8018-89416a7512a2","版力386.png","版力386-a.png","2022학년도 수능 7번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","92","하","2"
"70","5e327b60-a24d-476f-a609-898fde1ef227","版力385.png","版力385-a.png","2021년 10월 학평 10번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","51","중","5"
"71","80506cf0-a2a8-4ef5-bad6-05c10c0d093c","版力384.png","版力384-a.png","2018년 4월 학평 15번","2018","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","56","중","5"
"72","007e724b-9eb9-48d9-b1d5-65c0bae9ee11","版力383.png","版力383-a.png","2020학년도 수능 5번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","86","하","4"
"73","283a5493-b22d-40c2-ac2f-3614e9f08b41","版力382.png","版力382-a.png","2022학년도 6월 모평 10번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","1"
"74","4fb3d676-f10a-4238-bdb0-b67c848a317b","版力381.png","版力381-a.png","2021년 3월 학평 5번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","69","하","2"
"75","668a1154-d5e6-4313-93fb-add236b8b1b9","版力380.png","版力380-a.png","2020학년도 6월 모평 10번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","65","하","2"
"76","62c22d5e-c1ff-4ddf-8df6-7cfb00336cc2","版力379.png","版力379-a.png","2023년 10월 학평 6번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","75","하","2"
"77","ca1fc19a-ff6a-46e6-bf90-e7ba4d08618d","版力378.png","版力378-a.png","2022년 10월 학평 9번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","56","중","4"
"78","02c9c41a-cda1-4532-b622-8457026c703f","版力377.png","版力377-a.png","2023년 7월 학평 2번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","67","하","2"
"79","ebd0451d-0ff5-45a3-ba46-a052620d24b1","版力376.png","版力376-a.png","2020학년도 9월 모평 12번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","67","하","5"
"80","7ee5552d-4ad3-4620-ac99-7d1c5f53a3a2","版力375.png","版力375-a.png","2020년 4월 학평 16번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","75","하","3"
"81","20461b98-33be-4690-8c3a-98915beeea99","版力374.png","版力374-a.png","2022년 3월 학평 9번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","38","상","1"
"82","2f5bc7b1-1470-480c-bfac-df86c38b280c","版力373.png","版力373-a.png","2022년 7월 학평 19번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","75","하","4"
"83","47548020-3e3c-47e6-bac5-6e3c872c9502","版力372.png","版力372-a.png","2021학년도 6월 모평 8번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","1"
"84","0f560368-606f-4c5a-86a3-6405c351d7c8","版力371.png","版力371-a.png","2019년 3월 학평 8번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","56","중","3"
"85","5e124c77-1dfc-4920-aa50-d5cc48dbafe5","版力370.png","版力370-a.png","2021년 4월 학평 7번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","80","하","1"
"86","9261b9ac-5e87-4448-9440-aeaffcc57c56","版力369.png","版力369-a.png","2023년 3월 학평 6번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","70","하","4"
"87","a3918072-484b-499a-8b4e-f7587e0e9e4a","版力368.png","版力368-a.png","2023년 4월 학평 7번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","79","하","1"
"88","9ff2cf80-2c1f-499b-a81d-778190366828","版力367.png","版力367-a.png","2025학년도 6월 모평 7번","2025","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","69","하","2"
"89","7aded346-c347-4b9a-a73a-e410bb907803","版力366.png","版力366-a.png","2022년 4월 학평 11번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","80","하","3"
"90","9c78fdf8-3fd5-43e5-be3e-56f0a5f283fe","版力365.png","版力365-a.png","2019년 7월 학평 19번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","51","중","5"
"91","4f80513e-d1d4-4bcd-8854-ab31decb70ab","版力364.png","版力364-a.png","2022학년도 9월 모평 7번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","2"
"92","0793aebc-48bb-46cc-9f31-e0c8ee38132c","版力363.png","版力363-a.png","2021년 7월 학평 16번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","1"
"93","36d2b922-481a-46d9-a09f-cbd4584ff928","版力362.png","版力362-a.png","2020학년도 수능 12번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","33","상","2"
"94","78e89400-d41e-4d1e-b9ce-9c2f66a2d9ec","版力361.png","版力361-a.png","2025학년도 9월 모평 13번","2025","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","58","중","2"
"95","7e67615c-706e-4b60-a617-219de52000c7","版力360.png","版力360-a.png","2019년 3월 학평 5번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","62","하","5"
"96","21a77646-6179-48a9-91b2-b9288914778a","版力359.png","版力359-a.png","2020년 3월 학평 17번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","70","하","2"
"97","5773e16e-01d3-434c-a164-216a993322c0","版力358.png","版力358-a.png","2020학년도 수능 16번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","71","하","1"
"98","8ea60506-7206-4521-a96a-a3669cba8568","版力357.png","版力357-a.png","2020년 10월 학평 18번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","72","하","2"
"99","935fb8c4-cd34-4cb1-abc8-3b8d5c88cc71","版力356.png","版力356-a.png","2019년 7월 학평 12번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","55","중","1"
"100","d26b68a4-3399-4a78-8a75-7baa9c97a04c","版力355.png","版力355-a.png","2022년 3월 학평 12번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","47","중","5"
"101","4e779fda-7f31-4c9f-ac2c-ed7daa4d35cc","版力354.png","版力354-a.png","2022학년도 수능 12번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","88","하","3"
"102","e54d951d-5329-4230-a296-7577aa511573","版力353.png","版力353-a.png","2020학년도 6월 모평 12번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","67","하","3"
"103","03cccef2-44c8-4302-ab35-558b6b92801e","版力352.png","版力352-a.png","2023년 4월 학평 18번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","73","하","1"
"104","26973e22-8fef-49cc-9c17-fdd3f5f129eb","版力351.png","版力351-a.png","2020년 7월 학평 14번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","56","중","4"
"105","cec7b463-f6b3-4e14-8c6c-a2525f1781fd","版力350.png","版力350-a.png","2025학년도 6월 모평 6번","2025","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","63","하","3"
"106","19265f36-b98b-4915-87c3-de091935edb0","版力349.png","版力349-a.png","2023학년도 수능 18번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","82","하","5"
"107","b996ad55-286f-4ab6-b2d6-45802cb8dfe5","版力348.png","版力348-a.png","2023년 7월 학평 15번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","74","하","3"
"108","88e8b8d1-468e-42dd-bfb8-537cbe18ebe7","版力347.png","版力347-a.png","2021년 7월 학평 19번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","84","하","3"
"109","7319aeda-6ecc-4fd4-a795-dddbc5d5680a","版力346.png","版力346-a.png","2021년 10월 학평 16번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","87","하","1"
"110","295faaf4-480e-4d3b-a811-d281b1af6981","版力345.png","版力345-a.png","2022학년도 9월 모평 16번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","86","하","1"
"111","5157741e-7b2b-47e8-845d-0536b903fa89","版力344.png","版力344-a.png","2020학년도 9월 모평 18번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","74","하","2"
"112","f6ce47cb-b2ce-4760-aaba-d06192a465f8","版力343.png","版力343-a.png","2022년 7월 학평 15번","2022","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","82","하","2"
"113","8b62133e-5377-4677-88a7-8c6111576db1","版力342.png","版力342-a.png","2023년 3월 학평 19번","2023","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","57","중","1"
"114","84f4a5cf-fb17-46fb-91c9-71cea0916ce7","版力341.png","版力341-a.png","2021학년도 9월 모평 11번","2021","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","75","하","4"
"115","4ffe9269-8f20-4eca-82f2-013beb7a8265","版力340.png","版力340-a.png","2020년 4월 학평 14번","2020","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","89","하","1"
"116","8b2453f4-bb0c-48fd-a9ea-dfea274b2cac","版力339.png","版力339-a.png","2019년 10월 학평 8번","2019","통합사회 2","자본주의의 전개 과정과 경제 체제","경제","45","중","5"
"117","4dbeddc5-5b83-4401-b840-b1bf4280179d","版力338.png","版力338-a.png","2024년 10월 학평 4번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","74","하","5"
"118","0669a280-9099-4abe-a456-2c98c12331c5","版力337.png","版力337-a.png","2021년 3월 학평 18번","2021","통합사회 2","합리적 선택과 경제 주체의 역할","경제","68","하","4"
"119","a98b1d7b-f092-408e-b58c-45c3aaf39981","版力336.png","版力336-a.png","2024년 3월 학평 4번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","68","하","1"
"120","38ac902e-3c7e-42b1-9792-522e645bc2a9","版力335.png","版力335-a.png","2024학년도 수능 18번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","81","하","2"
"121","2dabe130-28a9-4725-bd9b-c19e762d0642","版力334.png","版力334-a.png","2022년 10월 학평 7번","2022","통합사회 2","합리적 선택과 경제 주체의 역할","경제","91","하","4"
"122","b83c6005-d1e9-4c1d-ab66-bd7b844b4553","版力333.png","版力333-a.png","2021학년도 9월 모평 17번","2021","통합사회 2","합리적 선택과 경제 주체의 역할","경제","71","하","2"
"123","9ae70388-d262-4a03-a983-76da2b11e075","版力332.png","版力332-a.png","2022년 4월 학평 19번","2022","통합사회 2","합리적 선택과 경제 주체의 역할","경제","51","중","1"
"124","8f316fc3-c592-47c2-9e2c-2aaa17ac71cf","版力331.png","版力331-a.png","2020년 3월 학평 15번","2020","통합사회 2","합리적 선택과 경제 주체의 역할","경제","59","중","1"
"125","ea6ec64c-a6c0-4c79-bce3-a5043523497a","版力330.png","版力330-a.png","2024년 7월 학평 5번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","74","하","2"
"126","1409c321-8836-474f-9fd1-f4207b8b0dea","版力329.png","版力329-a.png","2024학년도 9월 모평 7번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","79","하","1"
"127","27bde772-9c98-40a1-ac4c-7fb2ec7fa99a","版力328.png","版力328-a.png","2024년 4월 학평 8번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","69","하","1"
"128","a6767b17-3c96-4106-bdfb-fa1bab01965f","版力327.png","版力327-a.png","2022학년도 6월 모평 12번","2022","통합사회 2","합리적 선택과 경제 주체의 역할","경제","84","하","3"
"129","4462b140-e4ea-439b-8461-9840649559ae","版力326.png","版力326-a.png","2020년 4월 학평 8번","2020","통합사회 2","합리적 선택과 경제 주체의 역할","경제","66","하","5"
"130","c97d4413-a210-477b-b19a-39ff2142921f","版力325.png","版力325-a.png","2023년 7월 학평 11번","2023","통합사회 2","합리적 선택과 경제 주체의 역할","경제","76","하","3"
"131","d4717d7a-2a3c-4c8c-b15f-fd636faa1741","版力324.png","版力324-a.png","2019년 4월 학평 11번","2019","통합사회 2","합리적 선택과 경제 주체의 역할","경제","85","하","3"
"132","0b4dffed-0b13-449d-aa30-e094639c5dd0","版力323.png","版力323-a.png","2021년 10월 학평 8번","2021","통합사회 2","합리적 선택과 경제 주체의 역할","경제","87","하","4"
"133","708b309f-dddf-48e9-8b78-4f9cbd06ebda","版力322.png","版力322-a.png","2021년 7월 학평 7번","2021","통합사회 2","합리적 선택과 경제 주체의 역할","경제","90","하","1"
"134","a265513c-d44f-492d-983e-a67e79fe80ce","版力321.png","版力321-a.png","2024학년도 6월 모평 13번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","60","하","1"
"135","1fa858a7-a8b8-4196-abfc-ae409e6aad3e","版力320.png","版力320-a.png","2021학년도 6월 모평 2번","2021","통합사회 2","합리적 선택과 경제 주체의 역할","경제","76","하","3"
"136","5e2fc475-2c71-43f6-bfe7-ab51b360834b","版力319.png","版力319-a.png","2022학년도 6월 모평 17번","2022","통합사회 2","합리적 선택과 경제 주체의 역할","경제","66","하","1"
"137","2b8786be-3423-4beb-8d9e-4a52f78d2fe5","版力318.png","版力318-a.png","2023년 3월 학평 18번","2023","통합사회 2","합리적 선택과 경제 주체의 역할","경제","45","중","5"
"138","6470e7d9-41e0-422b-b65b-e802448f1b8f","版力317.png","版力317-a.png","2025학년도 수능 13번","2025","통합사회 2","합리적 선택과 경제 주체의 역할","경제","49","중","3"
"139","f6c1f701-7ab2-4c18-b147-0036b4b0387c","版力316.png","版力316-a.png","2024년 10월 학평 7번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","72","하","3"
"140","1c8a1f99-1296-4b0a-ba1e-1e16f6d05e1b","版力315.png","版力315-a.png","2025학년도 9월 모평 12번","2025","통합사회 2","합리적 선택과 경제 주체의 역할","경제","55","중","3"
"141","46d9cd5f-067c-4bcf-9745-9e3788bbb047","版力314.png","版力314-a.png","2024학년도 6월 모평 12번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","89","하","1"
"142","4bb6fa4d-99e3-47fb-9a82-092094016bf8","版力313.png","版力313-a.png","2021년 3월 학평 9번","2021","통합사회 2","합리적 선택과 경제 주체의 역할","경제","70","하","3"
"143","4303722d-0b1e-4797-8911-ac75c5d9d33f","版力312.png","版力312-a.png","2020학년도 9월 모평 4번","2020","통합사회 2","합리적 선택과 경제 주체의 역할","경제","77","하","1"
"144","359837d3-2389-4c2e-9da6-8fef02432b81","版力311.png","版力311-a.png","2022년 3월 학평 18번","2022","통합사회 2","합리적 선택과 경제 주체의 역할","경제","66","하","3"
"145","48600a29-7243-4aa2-b922-884796dc9227","版力310.png","版力310-a.png","2023년 10월 학평 3번","2023","통합사회 2","합리적 선택과 경제 주체의 역할","경제","90","하","3"
"146","5b5bbc00-c4c2-4ab6-af90-06f5d0c6fa3d","版力309.png","版力309-a.png","2020학년도 9월 모평 16번","2020","통합사회 2","합리적 선택과 경제 주체의 역할","경제","67","하","2"
"147","b0c4b463-1769-4bc3-ba11-02f30ec9fee8","版力308.png","版力308-a.png","2024년 4월 학평 18번","2024","통합사회 2","합리적 선택과 경제 주체의 역할","경제","54","중","3"
"148","cf187a8a-e211-45c7-a8b9-325f6cc70622","版力307.png","版力307-a.png","2020년 3월 학평 18번","2020","통합사회 2","합리적 선택과 경제 주체의 역할","경제","68","하","5"
"149","d253dd98-88e0-46d1-ad30-1ddb927aa859","版力306.png","版力306-a.png","2022학년도 6월 모평 8번","2022","통합사회 2","합리적 선택과 경제 주체의 역할","경제","73","하","5"
