"global_index","순번","문제 파일명","정답 파일명","통합사회 1권/2권","대단원","소단원 (자세한)","기존 사탐 범주","내신 난이도 (상,중,하)","정답율%","기출문제 유무 (Y/N)","태그 (쉼표구분)","출처"
"16","16",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","법치주의","2023학년도 6월 모평 4번"
"17","17",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","법치주의","2021학년도 6월 모평 3번"
"18","18",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","법치주의","2023년 7월 학평 4번"
"19","19",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","법치주의","2022학년도 9월 모평 2번"
"20","20",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","법치주의","2023학년도 수능 3번"
"21","21",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","법치주의","2022학년도 수능 3번"
"22","22",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","법치주의","2023학년도 9월 모평 2번"
"23","23",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","법치주의","2022년 10월 학평 3번"
"24","24",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","법치주의","2024학년도 6월 모평 2번"
"25","25",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","법치주의","2021년 10월 학평 2번"
"26","26",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","법치주의","2024년 3월 학평 4번"
"27","27",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","법치주의","2024학년도 수능2번 "
"28","28",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","법치주의","2020학년도 9월 모평 3번"
"29","29",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","법치주의","2024년 7월 학평 8번"
"30","30",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","79","Y","법치주의","2025학년도 6월 모평 2번"
"31","31",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","72","Y","법치주의","2020년 3월 학평 2번"
"32","32",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","법치주의","2020년 10월 학평 14번"
"33","33",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","법치주의","2021학년도 9월 모평 2번"
"34","34",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","법치주의","2021학년도 수능 6번"
"35","35",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","79","Y","법치주의","2024학년도 9월 모평 2번"
"36","36",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","법치주의","2021년 4월 학평 1번"
"37","37",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","법치주의","2021년 3월 학평 6번"
"38","38",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","73","Y","법치주의","2023년 3월 학평 3번"
"39","39",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","법치주의","2024년 4월 학평 1번"
"40","40",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","법치주의","2019학년도 6월 모평 2번"
"41","41",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","법치주의","2020년 7월 학평 3번"
"42","42",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","법치주의","2021년 7월 학평 4번"
"43","43",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","법치주의","2020학년도 수능 4번"
"44","44",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","법치주의","2022학년도 6월 모평 2번"
"45","45",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","60","Y","법치주의","2022년 3월 학평 14번"
"46","46",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","법치주의","2022년 7월 학평 3번"
"47","47",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","법치주의","2023년 10월 학평 6번"
"48","48",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","법치주의","2025학년도 9월 모평 2번"
"49","49",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","법치주의","2024년 10월 학평 1번"
"50","50",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","법치주의","2025학년도 수능 2번"
"51","51",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","헌법의 기본 원리","2023학년도 9월 모평 4번"
"52","52",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","91","Y","헌법의 기본 원리","2023학년도 수능 4번"
"53","53",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","97","Y","헌법의 기본 원리","2024년 4월 학평 2번"
"54","54",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","헌법의 기본 원리","2025학년도 6월 모평 3번"
"55","55",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","헌법의 기본 원리","2023학년도 6월 모평 6번"
"56","56",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","헌법의 기본 원리","2024학년도 6월 모평 4번"
"57","57",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","헌법의 기본 원리","2021년 4월 학평 5번"
"58","58",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","헌법의 기본 원리","2022학년도 6월 모평 3번"
"59","59",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","헌법의 기본 원리","2021학년도 9월 모평 3번"
"60","60",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","헌법의 기본 원리","2020년 10월 학평 5번"
"61","61",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","헌법의 기본 원리","2021학년도 6월 모평 6번"
"62","62",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","헌법의 기본 원리","2021학년도 수능 7번"
"63","63",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","헌법의 기본 원리","2022학년도 수능 2번"
"64","64",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","헌법의 기본 원리","2024년 3월 학평 18번"
"65","65",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","헌법의 기본 원리","2023년 7월 학평 18번"
"66","66",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","헌법의 기본 원리","2022년 10월 학평 10번"
"67","67",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","헌법의 기본 원리","2017학년도 수능 7번"
"68","68",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","헌법의 기본 원리","2022년 3월 학평 6번"
"69","69",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","헌법의 기본 원리","2023년 3월 학평 4번"
"70","70",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","헌법의 기본 원리","2022년 7월 학평 4번"
"71","71",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","81","Y","헌법의 기본 원리","2024년 7월 학평 9번"
"72","72",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","헌법의 기본 원리","2019년 3월 학평 4번"
"73","73",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","78","Y","헌법의 기본 원리","2021년 7월 학평 5번"
"74","74",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","79","Y","헌법의 기본 원리","2023년 4월 학평 3번"
"75","75",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","헌법의 기본 원리","2020년 3월 학평 4번"
"76","76",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","78","Y","헌법의 기본 원리","2024학년도 9월 모평 4번"
"77","77",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","헌법의 기본 원리","2020년 4월 학평 1번"
"78","78",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","68","Y","헌법의 기본 원리","2022년 4월 학평 1번"
"79","79",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","헌법의 기본 원리","2022학년도 9월 모평 5번"
"80","80",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","헌법의 기본 원리","2018년 7월 학평 16번"
"81","81",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","헌법의 기본 원리","2024학년도 수능 3번"
"82","82",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","81","Y","헌법의 기본 원리","2020학년도 6월 모평 9번"
"83","83",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","67","Y","헌법의 기본 원리","2019년 7월 학평 16번"
"84","84",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","68","Y","헌법의 기본 원리","2020년 7월 학평 2번"
"85","85",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","헌법의 기본 원리","2021년 3월 학평 14번"
"86","86",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","헌법의 기본 원리","2023년 10월 학평 12번"
"87","87",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","헌법의 기본 원리","2025학년도 9월 모평 6번"
"88","88",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","헌법의 기본 원리","2024년 10월 학평 3번 "
"89","89",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","헌법의 기본 원리","2025학년도 수능 4번"
"90","90",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","61","Y","자연법과 실정법","2013년 7월 학평 14번"
"91","91",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","44","Y","자연법과 실정법","(정) 2012학년도 6월 모평 4번"
"92","92",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","기본권의 종류와 내용","2024학년도 6월 모평 3번"
"93","93",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","기본권의 종류와 내용","2022학년도 9월 모평 3번"
"94","94",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","기본권의 종류와 내용","2022년 4월 학평 9번"
"95","95",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","기본권의 종류와 내용","2021학년도 9월 모평 4번"
"96","96",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","기본권의 종류와 내용","2022년 10월 학평 6번"
"97","97",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","기본권의 종류와 내용","2023학년도 수능 12번"
"98","98",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","기본권의 종류와 내용","2020년 10월 학평 8번"
"99","99",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","기본권의 종류와 내용","2021학년도 수능 4번"
"100","100",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","기본권의 종류와 내용","2021년 4월 학평 8번"
"101","101",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","기본권의 종류와 내용","2021년 7월 학평 3번"
"102","102",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","75","Y","기본권의 종류와 내용","2024년 7월 학평 4번"
"103","103",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","기본권의 종류와 내용","2024학년도 9월 모평 3번"
"104","104",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","74","Y","기본권의 종류와 내용","2020년 4월 학평 4번"
"105","105",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","기본권의 종류와 내용","2023학년도 9월 모평 3번"
"106","106",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","기본권의 종류와 내용","2021학년도 6월 모평 7번"
"107","107",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","기본권의 종류와 내용","2024년 4월 학평 11번"
"108","108",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","기본권의 종류와 내용","2020학년도 수능 8번"
"109","109",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","66","Y","기본권의 종류와 내용","2024년 3월 학평 5번"
"110","110",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","56","Y","기본권의 종류와 내용","2020년 3월 학평 15번"
"111","111",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","66","Y","기본권의 종류와 내용","2023학년도 6월 모평 3번"
"112","112",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","68","Y","기본권의 종류와 내용","2021년 10월 학평 3번"
"113","113",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","기본권의 종류와 내용","2023년 10월 학평 2번"
"114","114",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","기본권의 종류와 내용","2022학년도 수능 4번"
"115","115",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","79","Y","기본권의 종류와 내용","2023년 4월 학평 4번"
"116","116",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","53","Y","기본권의 종류와 내용","2022년 3월 학평 19번"
"117","117",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","기본권의 종류와 내용","2022학년도 6월 모평6번 "
"118","118",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","기본권의 종류와 내용","2025학년도 6월 모평 6번"
"119","119",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","기본권의 종류와 내용","2023년 7월 학평 2번"
"120","120",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","53","Y","기본권의 종류와 내용","2023년 3월 학평 5번"
"121","121",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","39","Y","기본권의 종류와 내용","2018년 3월 학평 17번"
"122","122",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","66","Y","기본권의 종류와 내용","2021년 3월 학평 18번"
"123","123",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","기본권의 제한","2014학년도 9월 모평 5번"
"124","124",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","66","Y","기본권의 제한","2022년 7월 학평 20번"
"125","125",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","과잉 금지의 원칙","2020년 7월 학평 4번"
"126","126",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","52","Y","과잉 금지의 원칙","2024학년도 수능4번 "
"127","127",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","52","Y","과잉 금지의 원칙","2019년 7월 학평 14번"
"128","128",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","과잉 금지의 원칙","2020학년도 6월 모평 6번"
"129","129",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","93","Y","기본권의 종류와 내용","2025학년도 9월 모평 3번"
"130","130",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","76","Y","기본권의 종류와 내용","2024년 10월 학평 5번"
"131","131",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","기본권의 종류와 내용","2025학년도 수능 3번"
"132","132",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","57","Y","국회의 기능","2022년 7월 학평 7번"
"133","133",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","58","Y","국회의 기능","2018년 10월 학평 17번"
"134","134",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","40","Y","입법과정","2022년 4월 학평 6번"
"135","135",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","64","Y","입법과정","2022학년도 6월 모평 12번"
"136","136",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","28","Y","입법과정","2019학년도 6월 모평 13번"
"137","137",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","행정부","2022학년도 수능 5번"
"138","138",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","57","Y","행정부","2023학년도 6월 모평 8번"
"139","139",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","행정부","2024년 4월 학평 19번"
"140","140",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","73","Y","행정부","2022년 10월 학평 13번"
"141","141",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","47","Y","법원","2019년 7월 학평 5번"
"142","142",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","53","Y","법원","2018년 4월 학평 14번"
"143","143",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","42","Y","법원","2021학년도 6월 모평 9번"
"144","144",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","31","Y","법원","2019학년도 9월 모평 5번"
"145","145",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","헌법 재판소","2023년 10월 학평 15번"
"146","146",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","헌법 재판소","2023학년도 9월 모평 7번"
"147","147",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","77","Y","헌법 재판소","2020년 10월 학평 6번"
"148","148",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","76","Y","헌법 재판소","2021학년도 9월 모평 7번"
"149","149",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","72","Y","헌법 재판소","2022년 10월 학평 5번"
"150","150",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","헌법 재판소","2022학년도 수능 8번"
"151","151",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","헌법 재판소","2022학년도 6월 모평 7번"
"152","152",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","63","Y","헌법 재판소","2020년 7월 학평 16번"
"153","153",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","67","Y","헌법 재판소","2024년 4월 학평 10번"
"154","154",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","62","Y","헌법 재판소","2024년 3월 학평 12번"
"155","155",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","54","Y","헌법 재판소","2021년 3월 학평 5번"
"156","156",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","49","Y","헌법 재판소","2023학년도 6월 모평 9번"
"157","157",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","헌법 재판소","2019학년도 수능 4번"
"158","158",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","40","Y","헌법 재판소","2024학년도 9월 모평 9번"
"159","159",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","47","Y","헌법 재판소","2021학년도 수능 9번"
"160","160",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","64","Y","헌법 재판소","2022년 7월 학평 6번"
"161","161",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","66","Y","헌법 재판소","2021년 10월 학평 8번"
"162","162",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","헌법 재판소","2022학년도 9월 모평 8번"
